dataset,model,evaluation,best_epoch,precision,recall,mAP50,mAP50-95,wandb_url
SKU-110K,v0.1-N,standard,90,0.90561,0.83158,0.88171,0.54141,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,86,0.90601,0.83560,0.88434,0.54535,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
