dataset,model,evaluation,epoch,mAP50,mAP50-95,precision,recall,box_loss,cls_loss,moe_loss,wandb_url
SKU-110K,v0.1-N,standard,77,0.88065,0.54129,0.90476,0.82985,1.34149,0.5855,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,78,0.88082,0.5411,0.90345,0.83081,1.34047,0.58432,0.99984,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,79,0.88036,0.54074,0.90307,0.83144,1.33542,0.5811,0.9999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,80,0.88032,0.54055,0.90271,0.83134,1.3368,0.58136,1.0002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,81,0.88083,0.54083,0.90488,0.8309,1.33226,0.57839,1.00004,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,82,0.8811,0.54114,0.90385,0.83178,1.33402,0.5785,1.00009,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,83,0.88101,0.54108,0.90295,0.83156,1.334,0.57808,0.99961,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,84,0.88105,0.54101,0.90197,0.83277,1.33418,0.57656,1.00012,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,85,0.88108,0.54122,0.90371,0.83083,1.32905,0.5756,0.9998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,86,0.88126,0.54153,0.90368,0.8318,1.32885,0.57468,1.00014,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,87,0.88107,0.54137,0.90423,0.83138,1.3307,0.57466,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,88,0.8811,0.54102,0.90449,0.83161,1.32735,0.57432,0.99987,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,89,0.88163,0.54122,0.90519,0.83197,1.32742,0.57352,0.99993,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,90,0.88171,0.54141,0.90561,0.83158,1.32565,0.57328,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,91,0.88156,0.54184,0.90505,0.8317,1.31077,0.5631,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,92,0.88156,0.54189,0.90521,0.83167,1.30658,0.55735,0.99977,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,93,0.88136,0.54194,0.90526,0.83105,1.30251,0.55434,1.00048,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,94,0.88116,0.54203,0.90534,0.83109,1.30132,0.55294,1.00013,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,95,0.88087,0.54204,0.9065,0.82998,1.29956,0.55144,0.99972,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,96,0.88061,0.54184,0.90658,0.83015,1.29747,0.54947,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,97,0.88047,0.54173,0.90646,0.82989,1.29582,0.54968,1.00031,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,98,0.88026,0.5411,0.90519,0.83065,1.29413,0.54693,0.99971,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,99,0.88015,0.54051,0.90559,0.83021,1.29295,0.54642,1.00035,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,v0.1-N,standard,100,0.88025,0.54059,0.9059,0.83025,1.29081,0.54464,0.99968,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,1,0,0,4e-05,8e-05,6.41536,3.73956,1.15729,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,2,0.44845,0.18984,0.56866,0.46236,4.09314,2.17834,0.99619,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,3,0.61361,0.30439,0.71303,0.589,2.05637,1.0633,0.99539,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,4,0.72322,0.38599,0.80154,0.68201,1.83667,0.93586,0.99912,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,5,0.75991,0.41483,0.81362,0.71743,1.70788,0.85551,0.99984,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,6,0.77454,0.43165,0.82613,0.72973,1.64402,0.81041,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,7,0.78476,0.44715,0.84723,0.7406,1.59746,0.7814,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,8,0.79296,0.45723,0.84856,0.74837,1.57117,0.76726,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,9,0.80831,0.46947,0.86021,0.76133,1.5558,0.75959,0.99993,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,10,0.81745,0.47576,0.8619,0.77193,1.53549,0.74778,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,11,0.81734,0.47756,0.86197,0.77067,1.5242,0.73925,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,12,0.82217,0.48151,0.86637,0.77684,1.51462,0.73131,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,13,0.8267,0.48606,0.87306,0.77873,1.50094,0.72006,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,14,0.83345,0.49123,0.87457,0.77865,1.48935,0.71266,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,15,0.83417,0.49059,0.86826,0.79114,1.47984,0.70492,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,16,0.83505,0.49607,0.87356,0.79524,1.47371,0.69787,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,17,0.84023,0.49852,0.87688,0.7943,1.46861,0.69288,1.00005,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,18,0.84699,0.50222,0.87489,0.79462,1.45344,0.68208,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,19,0.84861,0.50627,0.88135,0.79688,1.44996,0.67863,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,20,0.84859,0.50802,0.88205,0.79736,1.45078,0.67654,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,21,0.84705,0.50656,0.88343,0.79945,1.44036,0.67176,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,22,0.85072,0.50998,0.88405,0.80097,1.43932,0.66836,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,23,0.85075,0.51036,0.88484,0.80329,1.43755,0.66493,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,24,0.85202,0.50993,0.88828,0.80361,1.42947,0.66074,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,25,0.85489,0.51378,0.88995,0.80692,1.42559,0.65778,0.99992,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,26,0.85377,0.51475,0.89161,0.80639,1.42418,0.65685,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,27,0.85545,0.51525,0.88772,0.80669,1.41644,0.65087,1.00004,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,28,0.85698,0.51917,0.88829,0.81154,1.40998,0.64498,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,29,0.85542,0.51768,0.8913,0.81165,1.41339,0.64736,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,30,0.86384,0.52246,0.89214,0.81154,1.41254,0.64638,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,31,0.86257,0.522,0.89354,0.812,1.40652,0.64302,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,32,0.86567,0.52372,0.89337,0.81396,1.41018,0.64393,0.99995,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,33,0.86541,0.52415,0.89176,0.81785,1.40853,0.64275,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,34,0.86501,0.5241,0.89186,0.81722,1.4008,0.63824,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,35,0.86972,0.52674,0.89732,0.81657,1.39504,0.63628,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,36,0.86658,0.52696,0.89537,0.8155,1.3988,0.63593,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,37,0.86473,0.52586,0.89367,0.81943,1.39925,0.63653,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,38,0.86813,0.52783,0.89581,0.81842,1.39636,0.63326,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,39,0.86854,0.52869,0.89752,0.81997,1.39464,0.63247,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,40,0.86934,0.53043,0.8997,0.81789,1.39149,0.63117,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,41,0.86917,0.52934,0.89791,0.82034,1.38777,0.6293,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,42,0.87074,0.53176,0.89719,0.82226,1.39058,0.62721,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,43,0.86982,0.53123,0.89655,0.81796,1.38325,0.6251,1.00004,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,44,0.86968,0.53134,0.89749,0.82454,1.38394,0.62352,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,45,0.87161,0.53301,0.89614,0.82467,1.3861,0.62381,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,46,0.87157,0.53298,0.89943,0.82181,1.38126,0.62424,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,47,0.87198,0.5345,0.89745,0.82433,1.37626,0.6184,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,48,0.87309,0.53436,0.89843,0.82515,1.37767,0.61922,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,49,0.87279,0.53499,0.89627,0.82409,1.37919,0.61936,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,50,0.87273,0.53539,0.89627,0.82584,1.37759,0.6179,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,51,0.87279,0.53505,0.8997,0.82606,1.37777,0.61735,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,52,0.87325,0.53623,0.89851,0.82585,1.37099,0.61344,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,53,0.87793,0.53692,0.9002,0.8265,1.3703,0.61161,0.99995,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,54,0.87831,0.5363,0.90181,0.82614,1.37263,0.61261,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,55,0.87376,0.53759,0.90018,0.82775,1.36965,0.61126,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,56,0.87977,0.53835,0.90243,0.82631,1.37063,0.61046,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,57,0.88006,0.5388,0.90156,0.82868,1.36955,0.61035,1.00004,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,58,0.87953,0.53862,0.90188,0.82832,1.36258,0.60602,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,59,0.87899,0.53837,0.90373,0.82704,1.36824,0.60832,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,60,0.87991,0.539,0.90221,0.82867,1.36191,0.60495,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,61,0.87958,0.53898,0.90184,0.83056,1.36371,0.60471,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,62,0.87945,0.53987,0.9028,0.82974,1.36197,0.60275,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,63,0.8801,0.53982,0.90193,0.83068,1.35843,0.60227,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,64,0.8815,0.54133,0.90307,0.83134,1.35059,0.59626,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,65,0.88221,0.54144,0.90376,0.83111,1.35589,0.5994,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,66,0.88121,0.54125,0.90572,0.83101,1.35811,0.60016,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,67,0.88136,0.54164,0.90517,0.83187,1.35649,0.59871,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,68,0.8825,0.54245,0.90562,0.83105,1.35271,0.59499,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,69,0.88188,0.54228,0.90405,0.83317,1.35249,0.59687,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,70,0.88178,0.54213,0.9035,0.83357,1.35008,0.59489,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,71,0.88222,0.54252,0.90316,0.83282,1.35423,0.59566,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,72,0.88284,0.54334,0.90342,0.83369,1.34631,0.592,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,73,0.88347,0.54374,0.90484,0.83398,1.34976,0.59289,1.00004,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,74,0.8834,0.54381,0.90522,0.83413,1.34638,0.59178,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,75,0.88339,0.54429,0.90491,0.83539,1.34672,0.59117,1.00006,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,76,0.88311,0.54402,0.90462,0.83449,1.34164,0.58768,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,77,0.88309,0.54469,0.9057,0.83434,1.34238,0.58819,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,78,0.8832,0.54419,0.90431,0.83492,1.34533,0.59024,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,79,0.88391,0.5445,0.90598,0.83414,1.34038,0.58558,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,80,0.88433,0.5448,0.90636,0.83476,1.34287,0.5863,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,81,0.88424,0.54473,0.90559,0.83528,1.33904,0.5833,1.00008,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,82,0.88434,0.54484,0.90544,0.83519,1.34049,0.5853,0.99992,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,83,0.88368,0.54445,0.90541,0.83436,1.34019,0.58354,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,84,0.88399,0.54419,0.9051,0.8347,1.33713,0.58271,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,85,0.88405,0.54527,0.90611,0.83511,1.33362,0.58037,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,86,0.88434,0.54535,0.90601,0.8356,1.33676,0.58171,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,87,0.88408,0.54552,0.90712,0.83487,1.3371,0.58053,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,88,0.88414,0.54562,0.9072,0.83517,1.33951,0.58161,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,89,0.88408,0.5457,0.90632,0.83565,1.33451,0.57898,1.00002,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,90,0.88419,0.54572,0.90587,0.83656,1.33311,0.57813,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,91,0.88388,0.54564,0.90707,0.83498,1.32273,0.57295,0.99997,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,92,0.88385,0.54562,0.90734,0.83452,1.31757,0.5688,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,93,0.88377,0.54566,0.9081,0.83366,1.31661,0.56496,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,94,0.88375,0.54536,0.90824,0.83367,1.31659,0.5646,0.99998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,95,0.88361,0.54524,0.9082,0.83352,1.31502,0.56291,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,96,0.88362,0.54457,0.90804,0.83419,1.31172,0.56083,1.00001,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,97,0.88344,0.5452,0.90783,0.83438,1.31181,0.55987,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,98,0.88324,0.54493,0.90805,0.83396,1.31024,0.55802,0.99996,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,99,0.88327,0.54492,0.90804,0.83408,1.30975,0.55738,1.00003,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
SKU-110K,EsMoE-N,dense,100,0.88324,0.54491,0.9081,0.83413,1.30896,0.55609,1,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
