epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
33,11943.6,1.83142,1.41429,0.9778,2.99186,0.29467,0.23514,0.18822,0.09765,1.72996,1.32208,0.9649,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,12281.2,1.83081,1.41086,0.97669,2.97958,0.30518,0.23412,0.1892,0.09921,1.7178,1.31265,0.95901,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,12625.2,1.82476,1.40349,0.97567,2.97893,0.3071,0.24454,0.19569,0.10159,1.71523,1.30619,0.95979,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,12973.5,1.82134,1.40169,0.97529,2.9819,0.30819,0.24049,0.19329,0.10071,1.72157,1.30572,0.95974,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,13323.3,1.81255,1.38878,0.97235,2.97777,0.31149,0.24175,0.1948,0.10198,1.72137,1.30244,0.95978,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,13666.3,1.79741,1.37496,0.9684,2.98135,0.30612,0.24429,0.19564,0.10234,1.70739,1.29829,0.95532,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
39,14019.4,1.80393,1.37948,0.9691,2.97637,0.31735,0.23899,0.19786,0.10335,1.71394,1.29754,0.95727,0,0.000176786,0.000176786,0.000176786,8.83932e-05,0.000353573
40,14371.7,1.79464,1.37255,0.96844,2.97954,0.31894,0.24535,0.19806,0.10351,1.70269,1.28613,0.95576,0,0.000162649,0.000162649,0.000162649,8.13246e-05,0.000325298
41,14725.1,1.73686,1.34676,0.97116,2.97207,0.30938,0.24252,0.19396,0.10143,1.71745,1.29892,0.95627,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
42,15067.1,1.72943,1.33105,0.9684,2.97752,0.31832,0.23829,0.1956,0.10194,1.70907,1.29253,0.95475,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,15415.3,1.71607,1.31888,0.96692,2.97356,0.30434,0.24615,0.19745,0.1036,1.71071,1.29187,0.95556,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
44,15764.7,1.71482,1.3121,0.96633,2.97598,0.31267,0.24296,0.19683,0.10319,1.70667,1.28888,0.95588,0,0.0001061,0.0001061,0.0001061,5.30502e-05,0.000212201
45,16115.3,1.70752,1.30442,0.96423,2.97243,0.3129,0.24418,0.19921,0.10424,1.70245,1.28466,0.95481,0,9.19632e-05,9.19632e-05,9.19632e-05,4.59816e-05,0.000183926
46,16466.9,1.70316,1.29884,0.96205,2.97909,0.31571,0.24551,0.19801,0.10363,1.70374,1.28689,0.95261,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
47,16811.9,1.70353,1.29896,0.96096,2.98042,0.31455,0.24676,0.19896,0.10433,1.69777,1.27996,0.95308,0,6.36888e-05,6.36888e-05,6.36888e-05,3.18444e-05,0.000127378
48,17158.6,1.70186,1.29441,0.96196,2.98554,0.31653,0.24602,0.20009,0.10468,1.7024,1.28123,0.95364,0,4.95516e-05,4.95516e-05,4.95516e-05,2.47758e-05,9.91032e-05
49,17510.8,1.69706,1.28814,0.95989,2.98156,0.32079,0.25001,0.20067,0.105,1.70085,1.27873,0.95331,0,3.54144e-05,3.54144e-05,3.54144e-05,1.77072e-05,7.08288e-05
50,17853.4,1.69356,1.28735,0.96069,2.9765,0.32217,0.25047,0.20253,0.10602,1.69632,1.27534,0.95214,0,2.12772e-05,2.12772e-05,2.12772e-05,1.06386e-05,4.25544e-05
