threshold,stage,mAP50-95,latency_mean_ms,structurally_pruned,quality_gate_pass,pareto
0.05,direct,0.11281247796687277,8.551221340894699,true,false,true
0.0,dense,0.5403897778827965,8.692290633916855,false,false,true
0.3,direct,0.00010357553011097717,9.068029001355171,true,false,false
0.15,direct,0.00010357553011097717,9.09479521214962,true,false,false
0.2,direct,0.00010357553011097717,9.118733927607536,true,false,false
0.1,direct,0.0,9.323148056864738,true,false,false
0.05,lora10,0.00027273292886035926,15.749985352158546,true,false,false
0.15,lora10,0.0,15.864778310060501,true,false,false
0.1,lora10,0.0,15.87388664484024,true,false,false
0.2,lora10,0.0,16.047867015004158,true,false,false
0.3,lora10,0.0,16.07508584856987,true,false,false
