epoch,mean_gini,ema_gini,balance_loss_coeff,layers,routing_observations,layer_gini
1,0.15332118421792984,0.15332118421792984,0.9078475456157642,4,512.0,"{""model.12"": 0.07672202587127686, ""model.3"": 0.38313212990760803, ""model.6"": 0.08671579509973526, ""model.9"": 0.06671478599309921}"
2,0.1532725878059864,0.15331146493554115,0.907838722031982,4,512.0,"{""model.12"": 0.07672011852264404, ""model.3"": 0.3829514682292938, ""model.6"": 0.08670312166213989, ""model.9"": 0.06671564280986786}"
3,0.15328138135373592,0.1533054482191801,0.9078332598403221,4,512.0,"{""model.12"": 0.07671485096216202, ""model.3"": 0.3829958736896515, ""model.6"": 0.08669654279947281, ""model.9"": 0.06671825796365738}"
4,0.15327739156782627,0.15329983688890933,0.9078281657023629,4,512.0,"{""model.12"": 0.07670644670724869, ""model.3"": 0.38300514221191406, ""model.6"": 0.08667781203985214, ""model.9"": 0.06672016531229019}"
5,0.15322905965149403,0.15328568144142626,0.9078153150793931,4,512.0,"{""model.12"": 0.0766981840133667, ""model.3"": 0.3828243315219879, ""model.6"": 0.08667180687189102, ""model.9"": 0.06672191619873047}"
6,0.15324018150568008,0.15327658145427703,0.9078070540092797,4,512.0,"{""model.12"": 0.07668616622686386, ""model.3"": 0.3828721046447754, ""model.6"": 0.08667290955781937, ""model.9"": 0.06672954559326172}"
7,0.15308189392089844,0.1532376439476013,0.9077717069542216,4,512.0,"{""model.12"": 0.07666895538568497, ""model.3"": 0.38225454092025757, ""model.6"": 0.08666666597127914, ""model.9"": 0.06673741340637207}"
8,0.15311134234070778,0.15321238362622258,0.9077487766387802,4,512.0,"{""model.12"": 0.07664880901575089, ""model.3"": 0.3824080228805542, ""model.6"": 0.08664548397064209, ""model.9"": 0.06674305349588394}"
9,0.15300948917865753,0.15317180473670958,0.9077119419488279,4,512.0,"{""model.12"": 0.07662703841924667, ""model.3"": 0.38205742835998535, ""model.6"": 0.08661377429962158, ""model.9"": 0.06673971563577652}"
10,0.15301031060516834,0.15313950591040132,0.9076826243919408,4,512.0,"{""model.12"": 0.0766085758805275, ""model.3"": 0.3821193277835846, ""model.6"": 0.0865812674164772, ""model.9"": 0.06673207134008408}"
11,0.15286657214164734,0.1530849191566505,0.9076330782963318,4,512.0,"{""model.12"": 0.07658853381872177, ""model.3"": 0.3816114664077759, ""model.6"": 0.08654803037643433, ""model.9"": 0.06671825796365738}"
12,0.15279322676360607,0.15302658067804162,0.9075801299078882,4,512.0,"{""model.12"": 0.07656878232955933, ""model.3"": 0.38136181235313416, ""model.6"": 0.08653430640697479, ""model.9"": 0.06670800596475601}"
13,0.15271449834108353,0.15296416421064998,0.90752348373015,4,512.0,"{""model.12"": 0.07655366510152817, ""model.3"": 0.3810921609401703, ""model.6"": 0.08652249723672867, ""model.9"": 0.06668967008590698}"
14,0.15266885422170162,0.1529051022128603,0.9074698851629946,4,512.0,"{""model.12"": 0.07655129581689835, ""model.3"": 0.38092347979545593, ""model.6"": 0.08653352409601212, ""model.9"": 0.0666671171784401}"
15,0.1526381801813841,0.15285171780656506,0.9074214417150183,4,512.0,"{""model.12"": 0.07655002921819687, ""model.3"": 0.38081058859825134, ""model.6"": 0.0865444540977478, ""model.9"": 0.06664764881134033}"
16,0.15267076715826988,0.15281552767690604,0.9073886026096165,4,512.0,"{""model.12"": 0.0765497088432312, ""model.3"": 0.3809521198272705, ""model.6"": 0.08655168861150742, ""model.9"": 0.0666295513510704}"
17,0.1525726206600666,0.15276694627353815,0.9073445214686723,4,512.0,"{""model.12"": 0.07654432207345963, ""model.3"": 0.3805750608444214, ""model.6"": 0.08656356483697891, ""model.9"": 0.0666075348854065}"
18,0.15250431932508945,0.1527144208838484,0.9072968640957213,4,512.0,"{""model.12"": 0.07653582096099854, ""model.3"": 0.3803249001502991, ""model.6"": 0.08656809478998184, ""model.9"": 0.06658846139907837}"
19,0.15241980366408825,0.15265549743989637,0.9072434046148257,4,512.0,"{""model.12"": 0.07652535289525986, ""model.3"": 0.3800146281719208, ""model.6"": 0.08657244592905045, ""model.9"": 0.06656678766012192}"
20,0.1523747742176056,0.1525993527954382,0.9071924691863257,4,512.0,"{""model.12"": 0.07651033252477646, ""model.3"": 0.37987184524536133, ""model.6"": 0.08656952530145645, ""model.9"": 0.06654739379882812}"
21,0.1522864606231451,0.15253677436097957,0.9071357002781246,4,512.0,"{""model.12"": 0.07648587226867676, ""model.3"": 0.37956851720809937, ""model.6"": 0.08656102418899536, ""model.9"": 0.06653042882680893}"
22,0.152255205437541,0.15248046057629183,0.9070846174719631,4,512.0,"{""model.12"": 0.07645490020513535, ""model.3"": 0.37950119376182556, ""model.6"": 0.08654943853616714, ""model.9"": 0.06651528924703598}"
23,0.15215380489826202,0.15241512944068586,0.9070253585395608,4,512.0,"{""model.12"": 0.07642436027526855, ""model.3"": 0.3791554272174835, ""model.6"": 0.08653999119997025, ""model.9"": 0.06649544090032578}"
24,0.15208314917981625,0.15234873338851193,0.9069651376357694,4,512.0,"{""model.12"": 0.07640018314123154, ""model.3"": 0.37892580032348633, ""model.6"": 0.08653213828802109, ""model.9"": 0.06647447496652603}"
25,0.15198476240038872,0.15227593919088728,0.9068991182392453,4,512.0,"{""model.12"": 0.07638230174779892, ""model.3"": 0.37859582901000977, ""model.6"": 0.0865146741271019, ""model.9"": 0.06644624471664429}"
26,0.1519821099936962,0.15221717335144908,0.906845825117199,4,512.0,"{""model.12"": 0.076363205909729, ""model.3"": 0.378662109375, ""model.6"": 0.08649011701345444, ""model.9"": 0.06641300767660141}"
27,0.15181953087449074,0.1521376448560574,0.9067737079009001,4,512.0,"{""model.12"": 0.07634329795837402, ""model.3"": 0.37808650732040405, ""model.6"": 0.08645585924386978, ""model.9"": 0.0663924589753151}"
28,0.1518776249140501,0.15208564086765594,0.9067265532776365,4,512.0,"{""model.12"": 0.07632432132959366, ""model.3"": 0.3783667981624603, ""model.6"": 0.08642856776714325, ""model.9"": 0.06639081239700317}"
29,0.15183591283857822,0.1520356952618404,0.9066812674015488,4,512.0,"{""model.12"": 0.07631471008062363, ""model.3"": 0.378221720457077, ""model.6"": 0.08640756458044052, ""model.9"": 0.06639965623617172}"
30,0.15175987035036087,0.1519805302795445,0.9066312517250541,4,512.0,"{""model.12"": 0.07630234956741333, ""model.3"": 0.3779264986515045, ""model.6"": 0.08641067892313004, ""model.9"": 0.0663999542593956}"
31,0.15173515118658543,0.1519314544609527,0.9065867591459786,4,512.0,"{""model.12"": 0.07628639787435532, ""model.3"": 0.37782660126686096, ""model.6"": 0.08642246574163437, ""model.9"": 0.06640513986349106}"
32,0.1516355685889721,0.15187227728655656,0.9065331114906013,4,512.0,"{""model.12"": 0.07626897096633911, ""model.3"": 0.3774298429489136, ""model.6"": 0.08643504232168198, ""model.9"": 0.0664084181189537}"
33,0.15160128474235535,0.1518180787777163,0.906483980079181,4,512.0,"{""model.12"": 0.07625073194503784, ""model.3"": 0.37729233503341675, ""model.6"": 0.08644958585500717, ""model.9"": 0.06641248613595963}"
34,0.1516038365662098,0.151775230335415,0.9064451394847989,4,512.0,"{""model.12"": 0.07621987909078598, ""model.3"": 0.3773174583911896, ""model.6"": 0.08646401017904282, ""model.9"": 0.0664139986038208}"
35,0.1514868400990963,0.15171755228815126,0.9063928590069341,4,512.0,"{""model.12"": 0.07618117332458496, ""model.3"": 0.3768787384033203, ""model.6"": 0.08646800369024277, ""model.9"": 0.06641944497823715}"
36,0.1514463946223259,0.15166332075498618,0.9063437052653938,4,512.0,"{""model.12"": 0.07613686472177505, ""model.3"": 0.37676289677619934, ""model.6"": 0.08646023273468018, ""model.9"": 0.06642558425664902}"
37,0.15141427516937256,0.15161351163786346,0.9062985622099019,4,512.0,"{""model.12"": 0.07608596235513687, ""model.3"": 0.37670981884002686, ""model.6"": 0.08643215894699097, ""model.9"": 0.06642916053533554}"
38,0.1513263788074255,0.15155608507177587,0.9062465180899959,4,512.0,"{""model.12"": 0.07601875811815262, ""model.3"": 0.3764481246471405, ""model.6"": 0.08640041202306747, ""model.9"": 0.0664382204413414}"
39,0.1512326467782259,0.1514913974130659,0.9061878970205769,4,512.0,"{""model.12"": 0.07595831900835037, ""model.3"": 0.3761749267578125, ""model.6"": 0.0863519087433815, ""model.9"": 0.06644543260335922}"
40,0.15120676159858704,0.15143447025017012,0.9061363117828636,4,512.0,"{""model.12"": 0.0759311318397522, ""model.3"": 0.3761270046234131, ""model.6"": 0.08632048219442368, ""model.9"": 0.06644842773675919}"
