epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
33,11632.6,1.81003,1.38903,0.9815,1.99988,0.31484,0.23433,0.18836,0.099,1.71456,1.29109,0.96816,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,11969.6,1.80862,1.38617,0.98025,1.99981,0.32951,0.23185,0.19004,0.10001,1.70252,1.2903,0.96375,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,12310.7,1.8024,1.37639,0.97959,1.99927,0.31947,0.23899,0.19417,0.10236,1.68984,1.27935,0.96044,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,12644.8,1.7989,1.37573,0.97902,2.00027,0.31578,0.2406,0.19269,0.10231,1.68802,1.27943,0.96139,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,12982.3,1.78808,1.36078,0.97534,2.00066,0.31869,0.24271,0.19568,0.10348,1.68901,1.27672,0.96064,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,13321.9,1.77518,1.34639,0.97121,1.99996,0.31851,0.23826,0.19512,0.10336,1.67609,1.26764,0.95763,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
39,13658.9,1.77951,1.3522,0.97213,1.99946,0.31826,0.24076,0.19721,0.10425,1.68167,1.26435,0.95984,0,0.000176786,0.000176786,0.000176786,8.83932e-05,0.000353573
40,13996.5,1.77323,1.34352,0.97209,1.99945,0.32772,0.23836,0.1974,0.10503,1.67329,1.25973,0.95953,0,0.000162649,0.000162649,0.000162649,8.13246e-05,0.000325298
41,14336.2,1.71388,1.31624,0.97454,1.99584,0.32167,0.24107,0.19754,0.10427,1.69023,1.27288,0.95896,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
42,14668.7,1.70715,1.30366,0.97211,2.00337,0.33721,0.23812,0.19853,0.10571,1.68371,1.26204,0.95911,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,15008.9,1.69147,1.28847,0.96931,1.99772,0.33935,0.24013,0.20033,0.10642,1.67974,1.25786,0.95822,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
44,15346.2,1.69302,1.28272,0.96951,1.99983,0.32931,0.2451,0.19901,0.10567,1.67347,1.25563,0.95856,0,0.0001061,0.0001061,0.0001061,5.30502e-05,0.000212201
45,15675.3,1.68355,1.27312,0.9666,1.99795,0.33309,0.24894,0.20231,0.10713,1.67193,1.25132,0.95598,0,9.19632e-05,9.19632e-05,9.19632e-05,4.59816e-05,0.000183926
46,16014.2,1.67989,1.27103,0.96449,2.00109,0.33328,0.24234,0.20149,0.10687,1.67174,1.25106,0.95508,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
47,16350.2,1.6778,1.26735,0.96277,1.99718,0.33328,0.24412,0.20232,0.10765,1.66487,1.24813,0.95453,0,6.36888e-05,6.36888e-05,6.36888e-05,3.18444e-05,0.000127378
48,16681.6,1.67627,1.26266,0.96459,2.00121,0.33596,0.2438,0.20142,0.10701,1.67019,1.24731,0.95559,0,4.95516e-05,4.95516e-05,4.95516e-05,2.47758e-05,9.91032e-05
49,17021,1.67196,1.25705,0.96217,1.99483,0.33798,0.24445,0.20248,0.10748,1.66648,1.24625,0.95494,0,3.54144e-05,3.54144e-05,3.54144e-05,1.77072e-05,7.08288e-05
50,17352.5,1.6707,1.26059,0.96412,1.99449,0.34572,0.24242,0.20441,0.10867,1.66439,1.24384,0.95352,0,2.12772e-05,2.12772e-05,2.12772e-05,1.06386e-05,4.25544e-05
